-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2022 through 10/31/2022 
Location: Latitude  19.076   Longitude 72.8777 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,5,1,0.02
2022,5,2,0.02
2022,5,3,0.02
2022,5,4,0.0
2022,5,5,0.0
2022,5,6,0.03
2022,5,7,0.01
2022,5,8,0.14
2022,5,9,0.18
2022,5,10,0.14
2022,5,11,0.13
2022,5,12,0.13
2022,5,13,0.09
2022,5,14,0.08
2022,5,15,0.08
2022,5,16,0.25
2022,5,17,0.37
2022,5,18,0.16
2022,5,19,0.46
2022,5,20,0.15
2022,5,21,0.07
2022,5,22,0.3
2022,5,23,2.86
2022,5,24,1.9
2022,5,25,0.34
2022,5,26,0.05
2022,5,27,0.01
2022,5,28,0.01
2022,5,29,0.01
2022,5,30,0.01
2022,5,31,0.27
2022,6,1,0.53
2022,6,2,0.19
2022,6,3,0.25
2022,6,4,0.27
2022,6,5,0.12
2022,6,6,0.12
2022,6,7,1.52
2022,6,8,1.23
2022,6,9,3.12
2022,6,10,11.24
2022,6,11,25.37
2022,6,12,5.52
2022,6,13,1.57
2022,6,14,1.62
2022,6,15,4.86
2022,6,16,9.21
2022,6,17,7.5
2022,6,18,6.8
2022,6,19,29.13
2022,6,20,20.72
2022,6,21,13.0
2022,6,22,22.48
2022,6,23,17.38
2022,6,24,16.31
2022,6,25,5.29
2022,6,26,14.31
2022,6,27,17.53
2022,6,28,14.12
2022,6,29,33.66
2022,6,30,52.41
2022,7,1,67.86
2022,7,2,27.73
2022,7,3,20.14
2022,7,4,63.8
2022,7,5,97.61
2022,7,6,83.32
2022,7,7,54.55
2022,7,8,71.1
2022,7,9,44.3
2022,7,10,57.38
2022,7,11,92.15
2022,7,12,78.31
2022,7,13,97.86
2022,7,14,102.07
2022,7,15,44.43
2022,7,16,34.07
2022,7,17,18.55
2022,7,18,22.58
2022,7,19,32.15
2022,7,20,13.99
2022,7,21,10.5
2022,7,22,6.48
2022,7,23,25.04
2022,7,24,29.04
2022,7,25,17.29
2022,7,26,6.35
2022,7,27,15.21
2022,7,28,13.36
2022,7,29,1.53
2022,7,30,1.2
2022,7,31,2.31
2022,8,1,1.83
2022,8,2,7.84
2022,8,3,10.06
2022,8,4,16.52
2022,8,5,12.38
2022,8,6,15.64
2022,8,7,41.89
2022,8,8,67.89
2022,8,9,63.72
2022,8,10,31.77
2022,8,11,42.45
2022,8,12,19.49
2022,8,13,18.71
2022,8,14,16.76
2022,8,15,38.81
2022,8,16,35.62
2022,8,17,21.5
2022,8,18,13.35
2022,8,19,12.82
2022,8,20,12.05
2022,8,21,8.92
2022,8,22,13.02
2022,8,23,19.73
2022,8,24,11.98
2022,8,25,5.61
2022,8,26,1.79
2022,8,27,0.23
2022,8,28,1.29
2022,8,29,1.41
2022,8,30,2.4
2022,8,31,10.34
2022,9,1,7.4
2022,9,2,4.56
2022,9,3,7.92
2022,9,4,7.41
2022,9,5,9.92
2022,9,6,11.6
2022,9,7,7.64
2022,9,8,77.44
2022,9,9,10.26
2022,9,10,10.35
2022,9,11,23.75
2022,9,12,34.64
2022,9,13,32.84
2022,9,14,29.54
2022,9,15,44.49
2022,9,16,58.86
2022,9,17,33.52
2022,9,18,33.66
2022,9,19,8.83
2022,9,20,7.04
2022,9,21,3.56
2022,9,22,4.46
2022,9,23,7.01
2022,9,24,4.36
2022,9,25,6.0
2022,9,26,3.33
2022,9,27,1.82
2022,9,28,1.3
2022,9,29,8.77
2022,9,30,19.04
2022,10,1,6.19
2022,10,2,2.45
2022,10,3,0.22
2022,10,4,1.27
2022,10,5,1.03
2022,10,6,8.61
2022,10,7,43.1
2022,10,8,14.9
2022,10,9,0.57
2022,10,10,0.99
2022,10,11,16.35
2022,10,12,8.97
2022,10,13,7.79
2022,10,14,26.96
2022,10,15,11.55
2022,10,16,0.31
2022,10,17,7.19
2022,10,18,14.15
2022,10,19,2.32
2022,10,20,3.19
2022,10,21,10.32
2022,10,22,0.16
2022,10,23,0.0
2022,10,24,0.0
2022,10,25,0.0
2022,10,26,0.0
2022,10,27,0.0
2022,10,28,0.0
2022,10,29,0.0
2022,10,30,0.0
2022,10,31,0.0
